1	1	0	0
1	2	1	94
1	3	2	22
1	4	3	70
1	5	4	71
1	6	5	81
1	7	6	35
1	8	7	96
1	9	8	32
1	10	9	21
1	11	10	33
1	12	11	75
1	13	12	10
1	14	13	28
1	15	14	21
2	16	0	0
2	17	1	76
2	18	2	43
2	4	3	47
2	19	4	16
2	20	5	80
2	21	6	19
2	22	7	24
2	23	8	84
2	24	9	100
3	25	0	0
3	26	1	85
3	27	2	90
3	8	3	53
3	28	4	89
3	29	5	39
3	21	6	66
3	30	7	87
3	31	8	11
3	32	9	36
3	33	10	49
3	34	11	72
4	35	0	0
4	36	1	29
4	37	2	42
4	38	3	57
4	11	4	11
4	39	5	18
4	40	6	13
4	21	7	11
4	41	8	65
4	42	9	30
5	43	0	0
5	44	1	28
5	45	2	85
5	46	3	44
5	47	4	21
5	48	5	68
5	49	6	97
5	50	7	41
