22	328	Saturday	02:28:00	120
22	128	Sunday	04:46:00	220
22	344	Thursday	03:02:00	180
22	249	Tuesday	07:29:00	250
22	53	Wednesday	04:05:00	320
36	337	Friday	00:54:00	90
36	213	Monday	09:05:00	320
36	308	Sunday	03:53:00	320
36	237	Wednesday	06:03:00	180
36	76	Wednesday	08:30:00	90
42	58	Saturday	05:58:00	220
42	63	Saturday	09:21:00	250
42	264	Sunday	03:16:00	150
42	135	Tuesday	12:03:00	300
42	44	Wednesday	00:01:00	120
50	15	Saturday	07:20:00	300
50	288	Sunday	03:28:00	120
50	51	Thursday	03:16:00	150
50	89	Thursday	13:03:00	250
50	116	Wednesday	13:44:00	330
85	147	Sunday	08:47:00	220
85	16	Sunday	12:43:00	180
85	199	Thursday	06:52:00	220
85	244	Tuesday	13:41:00	300
85	313	Wednesday	01:14:00	150
91	101	Friday	09:09:00	180
91	71	Monday	05:21:00	250
91	138	Saturday	13:39:00	250
91	212	Wednesday	04:40:00	150
92	137	Friday	04:13:00	330
92	8	Monday	00:58:00	220
92	196	Tuesday	00:04:00	80
105	297	Monday	05:29:00	320
105	318	Sunday	11:49:00	90
105	246	Thursday	10:44:00	220
105	21	Thursday	17:16:00	80
114	317	Saturday	03:43:00	300
114	258	Thursday	10:27:00	180
114	11	Thursday	12:27:00	120
114	73	Tuesday	08:09:00	320
114	41	Wednesday	08:21:00	220
124	256	Saturday	04:20:00	80
124	347	Sunday	05:58:00	120
124	329	Wednesday	09:00:00	330
132	33	Friday	11:57:00	120
132	151	Monday	07:32:00	320
132	118	Monday	12:40:00	80
132	9	Wednesday	05:28:00	320
134	232	Monday	01:28:00	220
134	221	Monday	02:24:00	80
134	19	Saturday	10:58:00	320
134	184	Saturday	11:55:00	150
134	350	Thursday	00:37:00	330
135	94	Friday	03:05:00	300
135	253	Monday	10:47:00	330
135	185	Sunday	03:59:00	320
135	269	Sunday	06:52:00	90
139	32	Friday	07:23:00	250
139	67	Saturday	11:47:00	80
139	214	Tuesday	05:16:00	150
139	192	Wednesday	05:46:00	220
139	84	Wednesday	09:42:00	90
155	172	Monday	15:46:00	220
155	203	Saturday	04:13:00	90
155	48	Wednesday	03:39:00	120
157	126	Friday	15:07:00	220
157	98	Sunday	03:31:00	330
157	195	Tuesday	09:36:00	120
158	266	Friday	06:41:00	80
158	324	Friday	06:59:00	150
158	82	Monday	02:20:00	300
158	23	Tuesday	12:01:00	180
167	323	Monday	03:53:00	220
167	181	Sunday	11:33:00	320
167	77	Thursday	16:32:00	250
167	75	Wednesday	11:05:00	150
171	168	Sunday	12:52:00	180
171	140	Tuesday	03:39:00	300
171	303	Tuesday	13:58:00	330
178	60	Thursday	09:08:00	150
178	274	Tuesday	10:10:00	250
178	167	Wednesday	05:54:00	90
206	225	Saturday	04:01:00	150
206	306	Sunday	14:31:00	90
206	202	Thursday	04:48:00	320
208	65	Monday	08:16:00	80
208	260	Tuesday	03:49:00	300
208	302	Wednesday	01:14:00	80
239	85	Saturday	15:52:00	320
239	92	Sunday	04:14:00	150
239	208	Thursday	03:10:00	320
262	343	Monday	14:07:00	80
262	218	Saturday	01:45:00	300
262	171	Thursday	04:46:00	80
262	144	Thursday	09:38:00	120
276	162	Monday	13:29:00	150
276	45	Saturday	15:36:00	80
276	223	Sunday	03:25:00	320
276	309	Thursday	08:05:00	150
276	206	Tuesday	14:57:00	330
301	83	Friday	06:07:00	120
301	146	Saturday	13:35:00	220
301	36	Sunday	11:46:00	220
301	277	Thursday	04:45:00	120
301	312	Wednesday	10:28:00	150
313	320	Sunday	03:33:00	150
313	18	Thursday	02:08:00	220
313	56	Tuesday	07:29:00	320
313	136	Tuesday	13:57:00	250
313	173	Wednesday	12:15:00	90
315	103	Friday	12:55:00	330
315	86	Thursday	01:47:00	330
315	204	Thursday	12:28:00	220
339	262	Monday	04:26:00	150
339	335	Saturday	05:41:00	90
339	211	Sunday	07:21:00	320
339	22	Sunday	15:14:00	180
339	47	Wednesday	11:25:00	320
369	261	Monday	02:37:00	330
369	102	Monday	06:12:00	150
369	284	Thursday	08:19:00	150
376	54	Monday	11:22:00	80
376	5	Sunday	04:31:00	180
376	111	Wednesday	13:31:00	120
376	200	Wednesday	15:08:00	300
380	319	Monday	01:50:00	220
380	193	Thursday	15:48:00	300
380	157	Thursday	20:26:00	90
384	104	Friday	14:01:00	220
384	170	Friday	16:23:00	180
384	35	Sunday	10:36:00	150
387	148	Thursday	00:02:00	250
387	327	Thursday	09:37:00	150
387	20	Tuesday	02:13:00	150
397	10	Friday	15:37:00	320
397	62	Tuesday	07:19:00	220
397	29	Tuesday	13:12:00	320
397	325	Tuesday	14:45:00	180
410	315	Saturday	11:58:00	120
410	120	Sunday	08:15:00	220
410	61	Sunday	13:14:00	320
410	87	Tuesday	08:42:00	150
422	268	Friday	06:22:00	80
422	12	Monday	15:26:00	120
422	96	Saturday	17:17:00	250
422	4	Sunday	00:26:00	220
424	57	Friday	07:25:00	220
424	113	Friday	08:53:00	330
424	117	Sunday	04:43:00	330
424	130	Wednesday	02:09:00	180
427	231	Saturday	09:19:00	80
427	201	Thursday	12:56:00	80
427	267	Tuesday	07:21:00	220
431	72	Friday	02:48:00	180
431	240	Friday	04:40:00	330
431	190	Monday	10:44:00	150
431	139	Thursday	01:10:00	90
455	59	Monday	05:48:00	180
455	330	Monday	07:50:00	150
