22	1	1	0	0
22	1	2	1	1
22	1	3	2	\N
22	1	4	3	\N
22	1	5	4	\N
22	1	6	5	2
22	1	7	6	3
22	1	8	7	\N
22	1	9	8	4
22	1	10	9	\N
22	1	11	10	5
22	4	38	11	\N
22	4	37	12	6
22	4	36	13	\N
22	4	39	14	\N
22	4	40	15	7
22	2	21	16	\N
22	2	20	17	8
36	1	1	0	0
36	1	2	1	\N
36	1	3	2	1
36	1	4	3	\N
36	1	5	4	\N
36	1	6	5	2
36	1	7	6	3
36	1	8	7	\N
36	1	9	8	\N
36	1	10	9	4
36	1	11	10	\N
36	4	39	11	5
36	4	40	12	6
36	2	21	13	7
36	4	41	14	\N
36	3	27	15	8
42	1	1	0	0
42	1	2	1	\N
42	1	3	2	1
42	1	4	3	\N
42	1	5	4	\N
42	1	6	5	2
42	1	7	6	\N
42	1	8	7	\N
42	3	27	8	3
42	3	26	9	4
42	3	28	10	5
42	3	29	11	6
42	2	21	12	7
42	2	20	13	8
50	1	1	0	0
50	1	2	1	1
50	1	3	2	\N
50	1	4	3	2
50	1	5	4	3
50	1	6	5	4
50	1	7	6	5
50	1	8	7	6
50	3	28	8	7
50	3	29	9	8
50	2	21	10	\N
50	2	22	11	9
50	2	23	12	\N
50	3	30	13	\N
50	3	31	14	\N
50	3	32	15	\N
50	3	33	16	10
85	1	1	0	0
85	1	2	1	1
85	1	3	2	2
85	1	4	3	\N
85	2	19	4	\N
85	2	20	5	\N
85	2	21	6	\N
85	3	29	7	3
85	3	28	8	4
85	1	8	9	5
85	1	7	10	\N
85	1	6	11	6
85	1	9	12	7
85	1	10	13	\N
85	1	11	14	8
85	1	12	15	9
91	1	1	0	0
91	1	2	1	1
91	1	3	2	\N
91	1	4	3	\N
91	2	19	4	2
91	2	20	5	3
91	2	21	6	\N
91	3	29	7	4
91	3	28	8	\N
91	1	8	9	5
91	1	9	10	6
91	1	10	11	\N
91	1	11	12	\N
91	1	12	13	\N
91	1	13	14	\N
91	1	14	15	7
91	4	38	16	\N
91	4	37	17	8
91	4	36	18	9
92	1	1	0	0
92	1	2	1	\N
92	1	3	2	\N
92	1	4	3	1
92	2	19	4	2
92	2	20	5	3
92	2	21	6	\N
92	3	29	7	4
92	3	28	8	\N
92	1	8	9	5
92	1	9	10	\N
92	1	10	11	6
92	1	11	12	\N
92	1	12	13	\N
92	1	13	14	\N
92	1	14	15	\N
92	4	38	16	\N
92	4	37	17	\N
92	4	36	18	7
92	4	35	19	8
105	1	1	0	0
105	1	2	1	1
105	1	3	2	\N
105	1	4	3	\N
105	2	19	4	\N
105	2	20	5	\N
105	2	21	6	2
105	3	30	7	\N
105	3	31	8	3
105	3	32	9	4
105	3	33	10	\N
105	4	40	11	\N
105	4	39	12	\N
105	1	11	13	5
114	1	1	0	0
114	1	2	1	1
114	1	3	2	\N
114	1	4	3	\N
114	2	19	4	\N
114	2	20	5	\N
114	2	21	6	\N
114	4	40	7	\N
114	4	39	8	2
114	1	11	9	\N
114	1	10	10	3
114	1	9	11	4
114	1	8	12	\N
114	1	7	13	\N
114	1	6	14	\N
114	3	27	15	5
114	3	26	16	\N
114	3	25	17	6
124	1	1	0	0
124	1	2	1	\N
124	1	3	2	1
124	1	4	3	\N
124	2	19	4	\N
124	2	20	5	2
124	2	21	6	\N
124	4	40	7	\N
124	4	39	8	3
124	1	11	9	\N
124	1	12	10	4
124	1	13	11	5
124	1	14	12	\N
124	4	38	13	\N
124	4	37	14	6
124	4	36	15	7
124	4	35	16	8
132	1	2	0	0
132	1	3	1	\N
132	1	4	2	1
132	1	5	3	2
132	1	6	4	3
132	1	7	5	4
134	1	2	0	0
134	1	3	1	1
134	1	4	2	\N
134	1	5	3	2
134	1	6	4	\N
134	1	7	5	3
134	1	8	6	4
134	1	9	7	5
135	1	2	0	0
135	1	3	1	\N
135	1	4	2	\N
135	1	5	3	1
135	1	6	4	2
135	1	7	5	\N
135	1	8	6	\N
135	1	9	7	\N
135	1	10	8	3
139	1	2	0	0
139	1	3	1	\N
139	1	4	2	\N
139	1	5	3	1
139	1	6	4	2
139	1	7	5	\N
139	1	8	6	3
139	1	9	7	4
139	1	10	8	\N
139	1	11	9	\N
139	1	12	10	\N
139	1	13	11	5
139	1	14	12	6
155	1	2	0	0
155	1	3	1	1
155	1	4	2	\N
155	1	5	3	2
155	1	6	4	\N
155	1	7	5	3
155	1	8	6	\N
155	1	9	7	\N
155	1	10	8	4
155	1	11	9	5
155	4	39	10	\N
155	4	40	11	6
155	2	21	12	\N
155	3	29	13	7
155	3	30	14	8
157	1	2	0	0
157	1	3	1	1
157	1	4	2	2
157	1	5	3	3
157	1	6	4	\N
157	1	7	5	4
157	1	8	6	\N
157	1	9	7	\N
157	1	10	8	5
157	1	11	9	6
157	4	39	10	7
157	4	40	11	\N
157	2	21	12	8
157	3	29	13	\N
157	3	30	14	9
157	3	31	15	\N
157	3	32	16	10
158	1	2	0	0
158	1	3	1	1
158	1	4	2	2
158	1	5	3	3
158	1	6	4	\N
158	1	7	5	4
158	1	8	6	5
158	1	9	7	6
158	1	10	8	\N
158	1	11	9	7
158	4	39	10	\N
158	4	40	11	\N
158	2	21	12	\N
158	3	29	13	8
158	3	30	14	9
158	3	31	15	10
158	3	32	16	11
158	3	33	17	12
167	1	2	0	0
167	1	3	1	\N
167	1	4	2	\N
167	1	5	3	1
167	1	6	4	2
167	1	7	5	3
167	1	8	6	4
167	3	27	7	5
167	3	26	8	\N
167	3	28	9	\N
167	3	29	10	\N
167	2	21	11	6
171	1	2	0	0
171	1	3	1	1
171	1	4	2	2
171	1	5	3	\N
171	1	6	4	\N
171	1	7	5	\N
171	1	8	6	\N
171	3	28	7	\N
171	3	29	8	3
171	2	21	9	\N
171	2	20	10	4
171	2	22	11	5
171	2	23	12	6
178	1	2	0	0
178	1	3	1	\N
178	1	4	2	1
178	1	5	3	\N
178	1	6	4	2
178	1	7	5	\N
178	1	8	6	\N
178	3	28	7	\N
178	3	29	8	\N
178	2	21	9	3
178	3	30	10	4
178	3	31	11	\N
178	3	32	12	5
178	3	33	13	6
178	4	40	14	7
206	1	2	0	0
206	1	3	1	\N
206	1	4	2	\N
206	2	19	3	\N
206	2	20	4	\N
206	2	21	5	\N
206	2	22	6	1
206	2	23	7	\N
206	3	29	8	\N
206	3	28	9	2
206	1	8	10	\N
206	1	7	11	3
206	1	6	12	4
208	1	2	0	0
208	1	3	1	1
208	1	4	2	\N
208	2	19	3	\N
208	2	20	4	\N
208	2	21	5	2
208	3	29	6	3
208	3	28	7	4
208	1	8	8	5
208	1	7	9	6
208	1	6	10	\N
208	1	9	11	7
239	1	2	0	0
239	1	3	1	\N
239	1	4	2	1
239	2	19	3	\N
239	2	20	4	2
239	2	21	5	\N
239	4	40	6	3
239	4	39	7	\N
239	1	11	8	4
239	1	10	9	5
239	1	9	10	\N
239	1	8	11	6
239	1	7	12	\N
239	1	6	13	\N
239	3	27	14	\N
